shed_code,shed_name,park_code,manager_code,manager_name,assignment_source,source_ref,confidence,needs_review,manager_role,backup_manager_code,backup_manager_name,backup_role,backup_source_ref,goat_count,notes
CBE_SHED_CASTRO_1,Castro 1,CBE,HRMS-MANUAL-9030,Fixture Staff Manual 030,reviewed,synthetic sanitized fixture roster,reviewed_source_overlay,false,Preventive Care Manager,HRMS-JUN26-020,Fixture Staff 020,Backup Manager,synthetic sanitized fixture roster,54,Synthetic shed ownership fixture; manager and backup resolve through committed roster.
CBE_SHED_CASTRO_2,Castro 2,CBE,HRMS-MANUAL-9030,Fixture Staff Manual 030,reviewed,synthetic sanitized fixture roster,reviewed_source_overlay,false,Preventive Care Manager,HRMS-JUN26-020,Fixture Staff 020,Backup Manager,synthetic sanitized fixture roster,3,Synthetic shed ownership fixture; manager and backup resolve through committed roster.
CBE_SHED_CASTRO_3,Castro 3,CBE,HRMS-MANUAL-9030,Fixture Staff Manual 030,reviewed,synthetic sanitized fixture roster,reviewed_source_overlay,false,Preventive Care Manager,HRMS-JUN26-020,Fixture Staff 020,Backup Manager,synthetic sanitized fixture roster,1,Synthetic shed ownership fixture; manager and backup resolve through committed roster.
CBE_SHED_GANDHI_1,Gandhi 1,CBE,HRMS-MANUAL-9030,Fixture Staff Manual 030,reviewed,synthetic sanitized fixture roster,reviewed_source_overlay,false,Preventive Care Manager,HRMS-JUN26-020,Fixture Staff 020,Backup Manager,synthetic sanitized fixture roster,1,Synthetic shed ownership fixture; manager and backup resolve through committed roster.
CBE_SHED_GANDHI_1_PART_1,Gandhi 1 - Part 1,CBE,HRMS-MANUAL-9030,Fixture Staff Manual 030,reviewed,synthetic sanitized fixture roster,reviewed_source_overlay,false,Preventive Care Manager,HRMS-JUN26-020,Fixture Staff 020,Backup Manager,synthetic sanitized fixture roster,8,Synthetic shed ownership fixture; manager and backup resolve through committed roster.
CBE_SHED_GANDHI_1_PART_2,Gandhi 1 - Part 2,CBE,HRMS-MANUAL-9030,Fixture Staff Manual 030,reviewed,synthetic sanitized fixture roster,reviewed_source_overlay,false,Preventive Care Manager,HRMS-JUN26-020,Fixture Staff 020,Backup Manager,synthetic sanitized fixture roster,8,Synthetic shed ownership fixture; manager and backup resolve through committed roster.
CBE_SHED_GANDHI_2,Gandhi 2,CBE,HRMS-MANUAL-9030,Fixture Staff Manual 030,reviewed,synthetic sanitized fixture roster,reviewed_source_overlay,false,Preventive Care Manager,HRMS-JUN26-020,Fixture Staff 020,Backup Manager,synthetic sanitized fixture roster,60,Synthetic shed ownership fixture; manager and backup resolve through committed roster.
CBE_SHED_GANDHI_3,Gandhi 3,CBE,HRMS-MANUAL-9030,Fixture Staff Manual 030,reviewed,synthetic sanitized fixture roster,reviewed_source_overlay,false,Preventive Care Manager,HRMS-JUN26-020,Fixture Staff 020,Backup Manager,synthetic sanitized fixture roster,36,Synthetic shed ownership fixture; manager and backup resolve through committed roster.
CBE_SHED_GODEL_1,Godel 1,CBE,HRMS-MANUAL-9030,Fixture Staff Manual 030,reviewed,synthetic sanitized fixture roster,reviewed_source_overlay,false,Preventive Care Manager,HRMS-JUN26-020,Fixture Staff 020,Backup Manager,synthetic sanitized fixture roster,14,Synthetic shed ownership fixture; manager and backup resolve through committed roster.
CBE_SHED_GODEL_1_PART_2,Godel 1 - Part 2,CBE,HRMS-MANUAL-9030,Fixture Staff Manual 030,reviewed,synthetic sanitized fixture roster,reviewed_source_overlay,false,Preventive Care Manager,HRMS-JUN26-020,Fixture Staff 020,Backup Manager,synthetic sanitized fixture roster,2,Synthetic shed ownership fixture; manager and backup resolve through committed roster.
